"","state","sleep","housework","phonetime","volunteer","sports","religion","eating","shopping","research_homework","class","working","tv","druguse","computeruse"
"1","AL",10.5,0,0,0,0,0,0.666666666666667,0,0,0,0,3.08333333333333,3.08333333333333,0
"2","AL",14.5833333333333,0.166666666666667,0,0,0,0,0.75,0,0,0,0,0,0,0
"3","AL",4.91666666666667,0,0.166666666666667,0,0,0,2.75,0,0,0,13.5,0,0,0
"4","AL",6.5,1.13333333333333,0,0,0,0,0.916666666666667,1,0,0,0,4.16666666666667,4.16666666666667,0
"5","AL",8.91666666666667,1,0.0833333333333333,0,0,0,0.333333333333333,0.0833333333333333,0,0,8.11666666666667,1.63333333333333,1.63333333333333,0
"6","AL",10.25,0,0,0,0.75,0,0.333333333333333,0,0.75,6,0,1,1,0
"7","AL",11.2,0,0,0,0,0,2,2,0,0,0,3.33333333333333,3.33333333333333,0
"8","AL",8,0,0.0833333333333333,0,0,0,1.75,0.0833333333333333,0,0,0,0,0,0
"9","AL",8,0,0,0,0,0,0.75,0,0,0,0,4.5,4.5,0
"10","AL",7.45,0,0.0666666666666667,0,0,0,1.83333333333333,0,0,0,0.616666666666667,4.18333333333333,4.18333333333333,0
"11","AL",6.5,0,0.25,0,0,0.2,1.96666666666667,0,0,0,0,4,4,0
"12","AL",7.5,3,0.75,0,0,0,0,0,0,0,0,0,0,0
"13","AL",10.8333333333333,4,0,0,0,0,1,0,0,0,0,3,3,0
"14","AL",6.58333333333333,1,0,0,0,0,1,4,0,0,0,2,2,0
"15","AL",11.25,0,0,0,2.75,0,0.333333333333333,0,0,0,0,0,0,0
"16","AL",8.83333333333333,0,0,2.38333333333333,1,0,0.666666666666667,0.0833333333333333,0,7.5,0,0,0,0
"17","AL",7,0.5,0,0,0,0,2.5,1.15,0,0,0,1,1,0
"18","AL",9.5,0,0.583333333333333,0,1,0,1.5,0.166666666666667,0,0,0,4.41666666666667,4.41666666666667,0
"19","AL",7.95,0.166666666666667,1,0,0.416666666666667,0,0.333333333333333,0.0833333333333333,0,0,8.91666666666667,1.5,1.5,0
"20","AL",9,0,0,0,4,0,1.83333333333333,0,0,0,0,3,3,0
"21","AL",11.6666666666667,0,0,0,0,0,0.5,0,0,0,0,4.83333333333333,4.83333333333333,0
"22","AL",10,1,0,0,0,0,1,0,0,0,0,7.66666666666667,7.66666666666667,0
"23","AL",7.5,0,0,0,1,0,1.75,0,0,0,2.91666666666667,1.91666666666667,1.91666666666667,0
"24","AL",9,0,0,0,0,4.16666666666667,0.5,0.166666666666667,0,0,0,4.88333333333333,4.88333333333333,0
"25","AL",10,0,0,0,0,0,0.833333333333333,0,0,0,0,10.1666666666667,10.1666666666667,0
"26","AL",5,0,0,0,0,0,1.5,0.0833333333333333,0,0,0,0,0,0
"27","AL",8,3,0,0,0,0,0.75,0.116666666666667,0,0,0,4.28333333333333,4.28333333333333,1
"28","AL",10.5,0,0,0,0,0,1,0.0833333333333333,0,0,0,8.05,8.05,0
"29","AL",13.5833333333333,0,0,0,0,3.91666666666667,0.333333333333333,0,0,0,0,3,3,0
"30","AL",11.55,0.333333333333333,0,0,0,0.416666666666667,0.166666666666667,0,0,0,0,4,4,0
"31","AL",7.5,3.4,0,0,0,0,1.33333333333333,1,0,0,0,6.16666666666667,6.16666666666667,0
"32","AL",6,0,0,2.5,0,8.05,1,0,0,0,0,2.75,2.75,0
"33","AL",8.25,0,0.0833333333333333,1.41666666666667,0,2.75,1.83333333333333,0,0,0,0,3.66666666666667,3.66666666666667,0
"34","AL",10,0,0,0,0,3.83333333333333,1.5,0,8.33333333333333,0,0,0,0,0
"35","AL",10,0,0,0,0,0,0,0,0,0,0,12,12,0
"36","AL",8,0,0,0,0,0,0.75,0,0,0,0,12.8333333333333,12.8333333333333,0
"37","AL",11,1,0,0,0,1,0,0,0,0,0,9.5,9.5,0
"38","AL",7.5,0,0,0,0,0,0.5,0,0,0,0,5.98333333333333,5.98333333333333,0
"39","AL",6.5,0,0,0,0,0,1.5,0,0,0,0,9.58333333333333,9.58333333333333,0
"40","AL",10,0,0,0,0,0,0.25,0,0,0,0,0,0,0
"41","AL",11.25,0.5,0,0,0,0,1.08333333333333,0,0,0,0,2,2,0
"42","AL",9,1,0,0,0,0,1,0.0166666666666667,0,0,0,2,2,0
"43","AL",11.25,1.5,0.916666666666667,0,0,1,0.833333333333333,0,0,0,0,1.5,1.5,0
"44","AL",8.58333333333333,0,0,0,0,0,0.75,0.0833333333333333,0,0,9.25,0.5,0.5,1.5
"45","AL",10.5,1,0,0,0,0,0.416666666666667,0.5,0,0,0,4.58333333333333,4.58333333333333,0
"46","AL",7.83333333333333,0,0,0,0,0,1,1.5,0,0,8,0,0,0
"47","AL",15.0833333333333,1.5,0,0,0,0,0.5,0.25,0,0,0,1,1,0
"48","AL",14.25,1.5,0,0,0,0,0.25,0.5,0,0,2,2.25,2.25,0
"49","AL",7.5,0,0.0833333333333333,0,0,0,0.5,0,0,0,2,3.5,3.5,2
"50","AL",7.5,0,0,0,0,1.33333333333333,1.16666666666667,0,0,0,0,11.3333333333333,11.3333333333333,0
"51","AL",11.6666666666667,0,0,0,0,4.66666666666667,1.08333333333333,0.0833333333333333,0,0,0,1.91666666666667,1.91666666666667,0
"52","AL",9.5,0,0,0,0,0,1.33333333333333,0.166666666666667,0,0,6.33333333333333,3.33333333333333,3.33333333333333,0
"53","AL",10.8333333333333,0,0,0,0,0.166666666666667,0.333333333333333,0,0,0,0,11.7333333333333,11.7333333333333,0
"54","AL",5.8,0,0,0,0,0,0.833333333333333,0,0,0,10.5,0,0,0.25
"55","AL",4,0,0,0,0,0,0.633333333333333,0,2,0,12.4,2.78333333333333,2.78333333333333,0
"56","AL",8.16666666666667,0,1,0,0,1,1,0,0,0,0,5,5,0
"57","AL",11,0.666666666666667,0,0,0.5,1.25,0.666666666666667,0.0833333333333333,0,0,0,4.18333333333333,4.18333333333333,0
"58","AL",9.5,0,0,0,0,0,1,0.166666666666667,0,0,0,1,1,0
"59","AL",6.75,0.5,0,0,0.5,0.0833333333333333,0.5,0,0,0,8.16666666666667,0,0,0
"60","AL",13.5,0,0,0,0,2.5,0.833333333333333,0,0,0,0,2,2,0
"61","AL",12.9,0.333333333333333,0,0,0,0.5,0.666666666666667,0,0,0,0,8.16666666666667,8.16666666666667,0
"62","AL",9.8,2,0,0,0,0,0.5,0.05,0,0,6.36666666666667,2,2,0.666666666666667
"63","AL",10.4166666666667,0,0,0,0,0,0.583333333333333,0,0,0,6.16666666666667,2.08333333333333,2.08333333333333,0
"64","AL",9,0,0,0,0,0,1.08333333333333,0,0,0,0,3,3,1.5
"65","AL",7.83333333333333,0,0,0,0,0,0.333333333333333,0,0,0,9.41666666666667,2.5,2.5,0
"66","AL",7.5,0,0,0,0,0,0.5,0,0,0,10,1.33333333333333,1.33333333333333,0
"67","AL",9.5,0,0,0,0,0,0.666666666666667,1,0,0,0,7.41666666666667,7.41666666666667,0
"68","AL",2,2,0,0,0,0,0.25,1,0,0,0,9,9,0
"69","AL",19.9166666666667,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0
"70","AL",12,0,0,0,0,5.66666666666667,0.25,0,0,0,0,3.16666666666667,3.16666666666667,0
"71","AL",8.41666666666667,0,0,0,0,0,0.833333333333333,0,0,0,8,0,0,0
"72","AL",7.91666666666667,0,0,0,0,0,0.333333333333333,0,0,0,12.5833333333333,1.41666666666667,1.41666666666667,0
"73","AL",9.66666666666667,0.916666666666667,0,0,0,0,0.25,0,0,0,0,6.5,6.5,0
"74","AL",7.66666666666667,0,0,0,2,0,0.333333333333333,0.666666666666667,0,0,0,1.5,1.5,0
"75","AL",10,0,0,0.25,1,0,1.25,0,0,0,0,7,7,0
"76","AL",10.9166666666667,0,0,0,0,0,1.5,0,0,0,0,7.25,7.25,0
"77","AL",8.38333333333333,3.91666666666667,0,0,0,0,0,0,0,0,0,6.61666666666667,6.61666666666667,0
"78","AL",9.5,0,0,0,0,0,0,0.25,0,0,0,1,1,0
"79","AL",7.06666666666667,0,1.5,0,0,0,0.283333333333333,0,0,0,0,10.2333333333333,10.2333333333333,0
"80","AL",8.33333333333333,0.333333333333333,0,3.83333333333333,0,0,0.5,0,0,0,0,2.75,2.75,0
"81","AL",11.5,0,0,0,0,0,2.5,3,0,0,0,2.66666666666667,2.66666666666667,0
"82","AL",8.5,0,0,0,0,0,0.333333333333333,0,0,0,0,12.1666666666667,12.1666666666667,0
"83","AL",9,2,0,0,0,0,1.5,0.5,0,0,2,3.41666666666667,3.41666666666667,0
"84","AL",12.3333333333333,0.75,0,0,0,0,0.916666666666667,0,0,0,0,8.66666666666667,8.66666666666667,0
"85","AL",9.5,1.16666666666667,0,0,0,0,0.333333333333333,0.333333333333333,0,0,9,1.83333333333333,1.83333333333333,0
"86","AL",2,0,1.5,0,0,0,1.25,0,0,0,0,0,0,0
"87","AL",10.5,1,0,0,0,0,0.75,0,0,0,0,7.33333333333333,7.33333333333333,0
"88","AL",5.91666666666667,0.166666666666667,0.5,0,1.5,0.333333333333333,1.25,0,0,0,10.0833333333333,1,1,0
"89","AL",9.2,0,0,0,0,0,0.35,0,0,0,0,2.41666666666667,2.41666666666667,0
"90","AL",8.5,1,0,0,0,0,1.5,1,0,0,0,1,1,0
"91","AL",13.4166666666667,0,0,0,0,0,2.08333333333333,1,0,0,0,1.83333333333333,1.83333333333333,0
"92","AL",11.6666666666667,0,0,0,0,0,0.666666666666667,0,0,0,0,10.25,10.25,0
"93","AL",0.5,0,0.333333333333333,0,0,0,0.416666666666667,0,0,0,0,5.58333333333333,5.58333333333333,0
"94","AL",8.25,0.25,0,0,0,0,1.58333333333333,0,0,0,8.15,2.23333333333333,2.23333333333333,0
"95","AL",8,0,0,0.5,0,0,1.16666666666667,0.166666666666667,0,0,3.65,1,1,0
"96","AL",8,2,0,0,3,0,0.5,0,0,0,0,3,3,0
"97","AL",8,0,0,0,0,1.51666666666667,0.166666666666667,0,0,0,0,9.33333333333333,9.33333333333333,0
"98","AL",8,2,0,0,0.5,0,0.833333333333333,3,0,0,0,6,6,0
"99","AL",8.33333333333333,4,0,0,0,0,0.666666666666667,1,0,0,0,0,0,0
"100","AL",6.25,0,0,0,0,0,0.333333333333333,0,0,0,13.3333333333333,2.21666666666667,2.21666666666667,0
"101","AL",9.33333333333333,0.5,0,0.333333333333333,0.5,0.5,1.38333333333333,0.25,0,0,0,4.58333333333333,4.58333333333333,0
"102","AL",9.5,1.33333333333333,0,0,0,0,1.83333333333333,0,0,0,0,6.08333333333333,6.08333333333333,0
"103","AL",8,3.01666666666667,0,0,0,0,1.25,0,0,0,2.7,4.55,4.55,0
"104","AL",11,0,0,0,0,0,0.333333333333333,0,0,0,0,12.1666666666667,12.1666666666667,0
"105","AL",8.5,4,0,1,0,0,0.333333333333333,0,0,0,6.83333333333333,1,1,0
"106","AL",7.41666666666667,3,0,0,0,0,0.333333333333333,0,0,0,7,5,5,0
"107","AL",5.5,0,0,0,0,0,1.25,0.5,0,0,9.58333333333333,5.41666666666667,5.41666666666667,0
"108","AL",8,0,0,0,1.21666666666667,0,1.3,0,0,0,0,7.5,7.5,0
"109","AL",7.5,0,0,0,2.86666666666667,0,1.33333333333333,0,0,0,0,1,1,0
"110","AL",11.5,0,0.333333333333333,2.91666666666667,0,0,0.75,0.0833333333333333,0,0,0,4.15,4.15,0
"111","AL",7,0,0,0,0,0,1.08333333333333,0,0,0,10.5,2.5,2.5,0
"112","AL",10.8333333333333,0,0,0,0,0,0.75,1,0,0,0,3.66666666666667,3.66666666666667,0
"113","AL",7.25,0.25,0,1.75,1.25,0,0.5,1,0,0,5.45,0,0,2.5
"114","AL",8,0,0,0,0,0,0.416666666666667,0,0,0,0,10.2,10.2,0
"115","AL",7.08333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0,2,2,0
