"","state","mean(sleep)","mean(housework)","mean(phonetime)","mean(volunteer)","mean(sports)","mean(religion)","mean(eating)","mean(shopping)","mean(research_homework)","mean(class)","mean(working)","mean(tv)","mean(druguse)","mean(computeruse)"
"1","AL",8.70514834205934,0.574520069808028,0.0575916230366492,0.168499127399651,0.18586387434555,0.343368237347295,0.868411867364747,0.282635253054101,0.10087260034904,0.12216404886562,1.9805410122164,4.16247818499127,4.16247818499127,0.121902268760908
"2","AK",8.55507246376812,0.316666666666667,0.210144927536232,0.246376811594203,0.199275362318841,0.159420289855072,1.45652173913043,0.221739130434783,0.130434782608696,0.130434782608696,1.84565217391304,2.79275362318841,2.79275362318841,0.542028985507246
"3","AZ",8.98011958146487,0.833707025411061,0.0959641255605381,0.126008968609865,0.241704035874439,0.196337817638266,1.13497757847534,0.376382660687593,0.179895366218236,0.170328849028401,1.97855007473842,2.92563527653214,2.92563527653214,0.25321375186846
"4","AR",9.1494750656168,0.56745406824147,0.0782152230971129,0.0833333333333333,0.405905511811024,0.189370078740157,0.986220472440945,0.32007874015748,0.0656167979002625,0.0699475065616798,2.38162729658793,3.55669291338583,3.55669291338583,0.178871391076115
"5","CA",9.01096643518519,0.546079282407407,0.0940393518518518,0.138642939814815,0.367592592592593,0.152951388888889,1.1845775462963,0.295326967592593,0.155107060185185,0.199869791666667,2.30936053240741,2.67973090277778,2.67973090277778,0.214482060185185
"6","CO",8.58038793103448,0.453807471264368,0.126005747126437,0.149712643678161,0.389942528735632,0.162284482758621,1.25272988505747,0.389727011494253,0.107758620689655,0.197629310344828,2.24288793103448,2.62341954022988,2.62341954022988,0.186997126436782
"7","CT",8.75768321513002,0.584397163120567,0.0886524822695035,0.0773049645390071,0.358156028368794,0.148699763593381,1.16406619385343,0.265957446808511,0.0543735224586288,0.170212765957447,2.30236406619385,2.97777777777778,2.97777777777778,0.273049645390071
"8","DE",9.18186274509804,0.71078431372549,0.00294117647058824,0.155882352941176,0.208333333333333,0.156862745098039,1.08823529411765,0.383823529411765,0,0,3.31911764705882,2.38235294117647,2.38235294117647,0.0588235294117647
"9","DC",8.49166666666667,0.291666666666667,0.146491228070175,0.142543859649123,0.146929824561404,0.00657894736842105,1.11798245614035,0.177631578947368,0.0728070175438597,0.335526315789474,2.91929824561404,2.77280701754386,2.77280701754386,0.0526315789473684
"10","FL",8.91796437659033,0.552188295165394,0.0936895674300254,0.0901781170483461,0.237022900763359,0.180814249363868,1.0569465648855,0.36941475826972,0.106055979643766,0.0805343511450382,2.27529262086514,3.1665903307888,3.1665903307888,0.169185750636132
"11","GA",8.79166666666667,0.609607218683652,0.151910828025478,0.0703290870488323,0.291242038216561,0.243099787685775,0.93375796178344,0.341082802547771,0.106634819532909,0.144904458598726,2.11502123142251,3.3317940552017,3.3317940552017,0.114808917197452
"12","HI",8.43174603174603,0.392857142857143,0.0563492063492064,0.401587301587302,0.464285714285714,0.0476190476190476,1.48253968253968,0.541269841269841,0,0,2.02301587301587,1.81984126984127,1.81984126984127,0.119047619047619
"13","ID",9.01102150537634,0.620967741935484,0.0981182795698925,0.102956989247312,0.323655913978495,0.274731182795699,1.25295698924731,0.282795698924731,0.0922043010752688,0.236827956989247,2.20591397849462,2.18198924731183,2.18198924731183,0.0381720430107527
"14","IL",8.63891076115486,0.527854330708661,0.107939632545932,0.119849081364829,0.287959317585302,0.234284776902887,1.09406167979003,0.371161417322835,0.139829396325459,0.117782152230971,2.50485564304462,2.91916010498688,2.91916010498688,0.177034120734908
"15","IN",8.80662949194548,0.648822800495663,0.087546468401487,0.163011152416357,0.217657992565056,0.173791821561338,1.14293680297398,0.331970260223048,0.149256505576208,0.0863692688971499,2.46071871127633,2.65954151177199,2.65954151177199,0.17180916976456
"16","IA",8.72600472813239,0.545271867612293,0.083096926713948,0.129078014184397,0.264184397163121,0.134160756501182,1.2306146572104,0.282860520094563,0.129432624113475,0.115602836879433,3.08770685579196,2.7306146572104,2.7306146572104,0.145508274231678
"17","KS",8.9737922705314,0.452536231884058,0.076207729468599,0.1243961352657,0.207850241545894,0.194444444444444,1.13526570048309,0.154347826086957,0.0181159420289855,0,2.71811594202899,3.17306763285024,3.17306763285024,0.181400966183575
"18","KY",9.11206896551724,0.548946360153257,0.106034482758621,0.111590038314176,0.269444444444444,0.195498084291188,0.974521072796935,0.371647509578544,0.0129310344827586,0.124137931034483,2.777969348659,3.00383141762452,3.00383141762452,0.206417624521073
"19","LA",8.95416666666667,0.660054347826087,0.111684782608696,0.071286231884058,0.250634057971015,0.315398550724638,0.96875,0.252264492753623,0.185416666666667,0.208152173913043,2.5445652173913,3.28713768115942,3.28713768115942,0.133514492753623
"20","ME",8.32430555555556,0.561458333333333,0.0576388888888889,0.234375,0.171875,0.0524305555555555,0.883680555555556,0.28125,0.414930555555556,0,2.43993055555556,2.65347222222222,2.65347222222222,0.126736111111111
"21","MD",8.73907330567082,0.520124481327801,0.116943291839557,0.119502074688797,0.262793914246196,0.201313969571231,1.02406639004149,0.320262793914246,0.113416320885201,0.068118948824343,2.68858921161826,3.05442600276625,3.05442600276625,0.199515905947441
"22","MA",8.83772321428571,0.592261904761905,0.0823660714285714,0.213169642857143,0.194717261904762,0.141964285714286,1.1921130952381,0.326860119047619,0.0973958333333333,0.0895089285714286,2.37596726190476,2.77552083333333,2.77552083333333,0.265997023809524
"23","MI",8.8091341991342,0.505757575757576,0.0939393939393939,0.0586580086580087,0.224112554112554,0.158311688311688,1.03722943722944,0.277142857142857,0.0910822510822511,0.16008658008658,2.52515151515151,3.36948051948052,3.36948051948052,0.212727272727273
"24","MN",8.79568126520681,0.67323600973236,0.0496350364963504,0.229379562043796,0.286557177615572,0.173479318734793,1.12779805352798,0.302737226277372,0.100973236009732,0.14963503649635,2.51800486618005,2.83035279805353,2.83035279805353,0.130048661800487
"25","MS",9.50899470899471,0.550661375661376,0.109920634920635,0.126984126984127,0.242063492063492,0.544179894179894,0.761507936507936,0.201058201058201,0.0466931216931217,0.0313492063492063,1.85198412698413,3.28148148148148,3.28148148148148,0.206349206349206
"26","MO",9.03444444444444,0.495833333333333,0.0663194444444444,0.142986111111111,0.286111111111111,0.288333333333333,1.20472222222222,0.307013888888889,0.13125,0.202083333333333,2.35159722222222,3.06673611111111,3.06673611111111,0.22
"27","MT",8.7369918699187,1.01016260162602,0.0308943089430894,0.0247967479674797,0.323170731707317,0.166666666666667,1.21666666666667,0.214227642276423,0,0,3.15975609756098,1.80325203252033,1.80325203252033,0.0873983739837398
"28","NE",8.7295045045045,0.665540540540541,0.086036036036036,0.0822072072072072,0.362162162162162,0.198873873873874,1.06554054054054,0.248648648648649,0.0304054054054054,0,2.7295045045045,3.3777027027027,3.3777027027027,0.209459459459459
"29","NV",9.08074433656958,0.544336569579288,0.0817152103559871,0.183818770226537,0.141585760517799,0.163268608414239,1.0336569579288,0.174757281553398,0.0315533980582524,0.114239482200647,3.43770226537217,2.83980582524272,2.83980582524272,0.157766990291262
"30","NH",9.01701388888889,0.427777777777778,0.0777777777777778,0.0277777777777778,0.390277777777778,0.0440972222222222,1.41909722222222,0.219444444444444,0.184027777777778,0,1.82395833333333,2.67673611111111,2.67673611111111,0.378819444444444
"31","NJ",8.69946996466431,0.508833922261484,0.109893992932862,0.118433451118963,0.315724381625442,0.180800942285041,1.15541813898704,0.341696113074205,0.126914016489988,0.0775029446407538,2.72520612485277,3.01678445229682,3.01678445229682,0.213604240282686
"32","NM",8.84265873015873,0.601984126984127,0.0706349206349206,0.113095238095238,0.329166666666667,0.317460317460317,1.15357142857143,0.22797619047619,0.330357142857143,0.0734126984126984,2.35992063492063,2.73968253968254,2.73968253968254,0.139880952380952
"33","NY",8.74229885057471,0.646580459770115,0.112816091954023,0.0670402298850575,0.260603448275862,0.172586206896552,1.09951149425287,0.307959770114943,0.065,0.0823850574712644,2.45370689655172,3.04977011494253,3.04977011494253,0.230833333333333
"34","NC",8.78266253869969,0.411300309597523,0.137254901960784,0.140505675954592,0.251135190918473,0.270536635706914,0.969401444788442,0.293292053663571,0.0990712074303406,0.0840557275541796,2.64520123839009,3.31728586171311,3.31728586171311,0.209081527347781
"35","ND",8.50448717948718,0.512820512820513,0.0173076923076923,0.310897435897436,0.307692307692308,0.115384615384615,0.958333333333333,0.334615384615385,0.0512820512820513,0.392948717948718,3.09230769230769,2.71474358974359,2.71474358974359,0.246794871794872
"36","OH",8.74308252427184,0.562257281553398,0.132281553398058,0.141747572815534,0.169417475728155,0.207402912621359,1.075,0.310720064724919,0.0968851132686084,0.136043689320388,2.35517799352751,3.24304207119741,3.24304207119741,0.233252427184466
"37","OK",8.66342592592593,0.683101851851852,0.0834490740740741,0.157986111111111,0.182175925925926,0.265856481481481,1.06840277777778,0.229513888888889,0.0763888888888889,0.201388888888889,2.59074074074074,3.32731481481481,3.32731481481481,0.14849537037037
"38","OR",8.50652610441767,0.529919678714859,0.0857429718875502,0.119377510040161,0.340160642570281,0.138755020080321,1.16164658634538,0.296586345381526,0.0187751004016064,0.160642570281124,2.75441767068273,2.7816265060241,2.7816265060241,0.192570281124498
"39","PA",8.53851303735025,0.565362931642001,0.0865398167723749,0.148026779422128,0.201268498942918,0.126638477801268,1.17381959126145,0.341895701198027,0.0841085271317829,0.179492600422833,2.56092318534179,3.18555320648344,3.18555320648344,0.149612403100775
"40","RI",8.18916666666667,0.76625,0.100833333333333,0.147916666666667,0.64375,0.075,1.12083333333333,0.262083333333333,0.110416666666667,0.11,2.53583333333333,2.85958333333333,2.85958333333333,0.53125
"41","SC",9.12938388625592,0.533807266982622,0.159004739336493,0.106635071090047,0.187914691943128,0.408135860979463,0.919589257503949,0.333412322274881,0.0307266982622433,0.0572669826224329,2.12361769352291,3.4067140600316,3.4067140600316,0.150078988941548
"42","SD",8.74947916666667,0.829166666666667,0.155208333333333,0.213541666666667,0.03125,0.203125,1.16458333333333,0.145833333333333,0,0,2.22916666666667,3.21197916666667,3.21197916666667,0.0625
"43","TN",8.77333333333333,0.337416666666667,0.144916666666667,0.0576666666666667,0.251,0.340833333333333,1.02075,0.324833333333333,0.0591666666666667,0.19775,2.62916666666667,3.24858333333333,3.24858333333333,0.267833333333333
"44","TX",8.94285714285714,0.556895238095238,0.0892761904761905,0.141504761904762,0.209695238095238,0.224819047619048,1.08641904761905,0.283333333333333,0.11247619047619,0.138571428571429,2.8924,3.0892,3.0892,0.198780952380952
"45","UT",8.77546666666667,0.505733333333333,0.0548,0.262533333333333,0.299333333333333,0.3144,1.02373333333333,0.193333333333333,0.163866666666667,0.126,2.9376,2.29773333333333,2.29773333333333,0.1616
"46","VT",8.85277777777778,0.951851851851852,0.217592592592593,0,0.351851851851852,0.0787037037037037,1.19907407407407,0.187037037037037,0,0,1.96481481481481,3.06296296296296,3.06296296296296,0.111111111111111
"47","VA",8.8039331366765,0.540904621435595,0.135152409046214,0.160275319567355,0.23023598820059,0.140806293018682,1.09218289085546,0.348131760078663,0.132497541789577,0.139380530973451,2.54749262536873,3.01499508357915,3.01499508357915,0.217895771878073
"48","WA",8.97870012870013,0.501351351351351,0.0620978120978121,0.145431145431145,0.324002574002574,0.132754182754183,1.17380952380952,0.300772200772201,0.0807593307593308,0.0405405405405405,2.54234234234234,2.77361647361647,2.77361647361647,0.253410553410553
"49","WV",8.34051282051282,0.581794871794872,0.147948717948718,0.262051282051282,0.0769230769230769,0.188461538461538,1.06205128205128,0.218717948717949,0.0623076923076923,0,2.88923076923077,3.14589743589744,3.14589743589744,0.0397435897435897
"50","WI",8.56759259259259,0.590013227513227,0.0711640211640212,0.18776455026455,0.287896825396825,0.17473544973545,1.06455026455026,0.317460317460317,0.0733465608465608,0.0531084656084656,2.55542328042328,3.04708994708995,3.04708994708995,0.294642857142857
