"","tucaseid","region","state","sex","age","edu","diary_mo","diary_day","race","famincome","tuyear","occup_code","labor_status","student_status","hh_size","sleep","housework","phonetime","volunteer","sports","religion","eating","shopping","research_homework","class","working","socialevents","tv","druguse","computeruse"
"1",20120101120061,"south","FL","male",58,"< hs diploma",1,28,"White only","25000-29999",2012,"construction","employed-at work",NA,2,10.3333333333333,0,0,0,0,0,2.66666666666667,0.166666666666667,0,0,0.166666666666667,NA,7.9,7.9,0
"2",20120101120106,"midwest","IN","male",34,"hs diploma",1,25,"Black only","< 5000",2012,NA,"unemployed-looking","no",1,12,0.0833333333333333,0,0,0,0,0.5,0.25,0,0,0.05,NA,7.53333333333333,7.53333333333333,0
"4",20120101120173,"northeast","NY","male",32,"hs diploma",1,28,"Asian only","75000-99999",2012,"service","employed-at work","no",3,6,3.73333333333333,0,0,0,0,2.5,0.75,0,0,4.16666666666667,NA,0,0,0
"6",20120101120519,"midwest","NE","male",47,"hs diploma",1,28,"White only","30000-34999",2012,"construction","employed-at work","no",1,10,0,0,0,0,0,0.833333333333333,0,0,0,0,NA,10.1666666666667,10.1666666666667,0
"7",20120101120589,"south","FL","male",20,"some college",1,22,"Black only","12500-14999",2012,NA,"unemployed-looking","yes",7,10.5,0,0,0,0,2,0.166666666666667,0,0.5,0,0,NA,8.83333333333333,8.83333333333333,0
"8",20120101120629,"midwest","OH","female",33,"master's degree",1,29,"White only","100000-149999",2012,"mgmt_biz_finance","employed-at work","no",5,6.83333333333333,0.666666666666667,0,0,0,0,0.166666666666667,0,0,0,0.5,NA,4.16666666666667,4.16666666666667,0
"9",20120101120664,"south","OK","male",36,"some college",1,27,"White only","100000-149999",2012,"construction","employed-at work","no",3,9.5,0,0,0,0,0,1.13333333333333,0.25,0,0,0,NA,6.75,6.75,0
"10",20120101120747,"south","LA","female",61,"associate degree",1,28,"Black only","60000-74999",2012,"professional","employed-at work",NA,1,12.5833333333333,0,0,0,0,0,1.16666666666667,0.583333333333333,0,0,4,NA,0,0,0
"11",20120101120780,"south","VA","male",55,"< hs diploma",1,22,"White only","15000-19999",2012,NA,"unemployed-looking",NA,2,10.5,0,0,0,0,0,0.916666666666667,0,0,0,0,NA,7.08333333333333,7.08333333333333,0
"12",20120101120827,"south","MD","female",75,"bachelor's degree",1,27,"White only","100000-149999",2012,"mgmt_biz_finance","employed-at work",NA,3,7.5,0.416666666666667,0,0,0,0,0.5,0.0833333333333333,0,0,3.66666666666667,NA,0.166666666666667,0.166666666666667,0
"16",20120101120848,"south","TX","male",43,"master's degree",1,22,"White only","100000-149999",2012,"mgmt_biz_finance","employed-at work","no",1,9.33333333333333,0.166666666666667,0,0,0,1.41666666666667,0.916666666666667,0,0,0,0.0833333333333333,NA,3.83333333333333,3.83333333333333,0
"17",20120101120880,"south","FL","male",58,"some college",1,24,"White only","60000-74999",2012,"professional","employed-at work",NA,1,8,0,0,0,0,0,0.916666666666667,0.333333333333333,0,0,4.66666666666667,NA,4.66666666666667,4.66666666666667,1
"19",20120101120910,"midwest","OH","female",45,"hs diploma",1,30,"White only","35000-39999",2012,"office_admin","employed-at work","no",3,13.6666666666667,0,0,1,0,0,1,0,0,0,0,NA,3.33333333333333,3.33333333333333,0
"20",20120101120949,"west","CO","male",41,"hs diploma",1,23,"White only","20000-24999",2012,"service","employed-at work","no",4,8,0,0,0,0,0,0.5,0.166666666666667,0,0,11.4333333333333,NA,1,1,0
"21",20120101121010,"northeast","NJ","male",51,"master's degree",1,25,"White only","100000-149999",2012,"mgmt_biz_finance","employed-at work",NA,5,7.5,0,0,0,0.25,0,0.166666666666667,0,0,0,9.4,NA,4.58333333333333,4.58333333333333,0
"22",20120101121040,"south","FL","female",54,"some college",1,31,"White only","60000-74999",2012,"office_admin","employed-at work",NA,2,7,0.5,0,0,0,0,1.08333333333333,0.5,0,0,9.08333333333333,NA,2.5,2.5,0
"23",20120101121074,"west","CA","male",47,"some college",1,22,"Other","40000-49999",2012,NA,"unemployed-looking","no",1,7,0,0,0,0,2.55,1,0,0,0,0,NA,7,7,0
"24",20120101121115,"west","WA","male",29,"master's degree",1,31,"White only","60000-74999",2012,"mgmt_biz_finance","employed-at work","no",5,8.06666666666667,0,0,0,0,0.25,0.833333333333333,0,0,0,9.66666666666667,NA,0,0,0
"25",20120101121145,"south","TN","male",52,"< hs diploma",1,25,"White only","5000-7499",2012,NA,"not_in_labor_force",NA,1,0,0,0,0,0,0,0.25,0,0,0,0,NA,0.25,0.25,0
"26",20120101121191,"northeast","MA","female",36,"bachelor's degree",1,29,"White only","60000-74999",2012,"professional","employed-at work","no",3,7.91666666666667,3.41666666666667,0,0,0,0,1.16666666666667,2.66666666666667,0,0,0,NA,1.25,1.25,0
"28",20120101121226,"south","TX","male",34,"master's degree",1,31,"Asian only","75000-99999",2012,"professional","employed-at work","no",2,8.75,0,0,0,0.25,0,1.08333333333333,0,0,0,9.16666666666667,NA,0.5,0.5,0
"30",20120101121262,"south","LA","female",61,"some college",1,22,"Black only","20000-24999",2012,NA,"not_in_labor_force",NA,1,8.75,0,0,0,1.25,2.43333333333333,0.333333333333333,0.166666666666667,0,0,0,NA,0.866666666666667,0.866666666666667,1.5
"31",20120101121324,"west","AZ","male",74,"hs diploma",1,27,"White only","40000-49999",2012,NA,"not_in_labor_force",NA,1,9.5,0.75,0,0,0,0,1.41666666666667,0.75,0,0,0,NA,4.33333333333333,4.33333333333333,1.83333333333333
"32",20120101121357,"south","TX","male",71,"< hs diploma",1,29,"White only","40000-49999",2012,"service","employed-at work",NA,3,8.33333333333333,0,0.0166666666666667,0,0,0,3.75,0,0,0,11,NA,0,0,0
"33",20120101121405,"west","CA","female",57,"some college",1,29,"White only","40000-49999",2012,NA,"not_in_labor_force",NA,2,7.75,0,0,0.416666666666667,0,0.333333333333333,1.33333333333333,0,0,0,0,NA,5.66666666666667,5.66666666666667,0
"36",20120101121441,"midwest","MI","male",17,"< hs diploma",1,30,"White only","100000-149999",2012,NA,"not_in_labor_force","yes",3,11,0,0,0,0,0,0.333333333333333,0.05,0,3.15,0,NA,0,0,0
"37",20120101121469,"midwest","OH","female",47,"hs diploma",1,28,"White only","75000-99999",2012,"office_admin","employed-at work","no",5,9,6.5,0,0,0,0,0.75,1.5,0,0,0,NA,3.26666666666667,3.26666666666667,0
"41",20120101121524,"northeast","NH","female",85,"some college",1,27,"White only","10000-12499",2012,NA,"not_in_labor_force",NA,1,9.8,0,1,0,0,1,1.11666666666667,0,0,0,0,NA,3,3,0
"43",20120101121552,"south","MD","male",44,"hs diploma",1,29,"White only","50000-59999",2012,"mgmt_biz_finance","employed-at work","no",4,9.5,2,0,1.75,0,0,0.5,0,0,0,0,NA,2.58333333333333,2.58333333333333,0
"45",20120101121657,"northeast","NJ","male",53,"bachelor's degree",1,30,"White only","150000+",2012,"sales","employed-at work",NA,2,7,0,0,1,1,0,1.5,0,0,0,10.3333333333333,NA,0.416666666666667,0.416666666666667,0
"46",20120101121700,"northeast","PA","male",80,"hs diploma",1,28,"White only","25000-29999",2012,NA,"not_in_labor_force",NA,2,11.75,0,0,0,0,0,0,0.833333333333333,0,0,0,NA,2.5,2.5,0
"47",20120101121741,"midwest","KS","female",75,"hs diploma",1,24,"White only","40000-49999",2012,NA,"not_in_labor_force",NA,7,7.75,0.5,0.0833333333333333,0,0,0,1.08333333333333,0,0,0,0,NA,6.03333333333333,6.03333333333333,0
"49",20120101121783,"south","SC","female",58,"master's degree",1,27,"Black only","100000-149999",2012,"professional","employed-at work",NA,3,8.5,0.0833333333333333,0,0,0,0,0,0.333333333333333,0,0,9.25,NA,3.91666666666667,3.91666666666667,0
"50",20120101121816,"south","KY","female",52,"bachelor's degree",1,28,"White only","60000-74999",2012,"office_admin","employed-at work",NA,3,7.23333333333333,0.583333333333333,0,0,0,0,0.333333333333333,1.5,0,0,5.8,NA,0,0,0.5
"52",20120101121856,"south","FL","female",60,"hs diploma",1,22,"White only","< 5000",2012,NA,"not_in_labor_force",NA,1,12,1,0,0,0,0,0.166666666666667,0,0,0,0,NA,4,4,0
"53",20120101121878,"south","AR","male",29,"hs diploma",1,28,"Other","30000-34999",2012,"construction","employed-at work","no",1,3.66666666666667,0.5,0,0,10,0,2.16666666666667,0,0,0,0,NA,0.5,0.5,0
"55",20120101121924,"midwest","NE","male",49,"associate degree",1,23,"Other","75000-99999",2012,"mgmt_biz_finance","employed-at work","no",3,8,0,0,0,0,0,0.75,0,0,0,7.58333333333333,NA,3,3,0
"56",20120101121978,"midwest","MI","male",80,"hs diploma",1,29,"White only","100000-149999",2012,NA,"not_in_labor_force",NA,1,11,1,0,0,0,0,0.75,0,0,0,0,NA,11,11,0
"57",20120101121994,"west","AZ","female",39,"bachelor's degree",1,30,"Asian only","60000-74999",2012,"professional","employed-at work","no",2,6.83333333333333,0,0,0,0.75,0,1.16666666666667,0,0,0,10.5,NA,0.716666666666667,0.716666666666667,0
"59",20120101122035,"midwest","MI","female",37,"bachelor's degree",1,24,"White only","60000-74999",2012,"office_admin","employed-at work","no",4,8,2.25,0,0,0,0,0.916666666666667,0,0,0,1.78333333333333,NA,0,0,0
"60",20120101122075,"northeast","NJ","male",33,"bachelor's degree",1,22,"White only","100000-149999",2012,"sales","employed-at work","no",1,14.25,0,0,0,0,0,0.666666666666667,0,0,0,0,NA,6,6,0
"61",20120101122166,"midwest","IN","female",76,"hs diploma",1,25,"White only","12500-14999",2012,NA,"not_in_labor_force",NA,1,8.91666666666667,0.583333333333333,1,0,0,0,0.75,0.0833333333333333,0,0,0,NA,4,4,0
"65",20120101122232,"south","FL","female",43,"hs diploma",1,27,"White only","40000-49999",2012,"office_admin","employed-at work","no",2,9.03333333333333,0.5,0,0,0,0,0.25,0,0,0,1.5,NA,6.75,6.75,0.75
"67",20120101122276,"northeast","NY","male",45,"hs diploma",1,29,"White only","75000-99999",2012,"construction","employed-at work","no",3,12,0,0,0,0,0,0.5,0.5,0,0,0,NA,0,0,0
"68",20120101122322,"midwest","MO","female",80,"hs diploma",1,26,"White only","75000-99999",2012,NA,"not_in_labor_force",NA,1,5.33333333333333,0.166666666666667,0.333333333333333,0,0,0.25,1.91666666666667,0,0,0,0,NA,4.41666666666667,4.41666666666667,0
